Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
5892;22760;POINT (21.2603332 48.6861252);21.2603332;48.6861252;Kapustn‡;9;Kapustn‡ 9;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5893;22763;POINT (21.2603578 48.6870582);21.2603578;48.6870582;Kapustn‡;23;Kapustn‡ 23;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5894;22656;POINT (21.2603224 48.6765367);21.2603224;48.6765367;F‡ndlyho;3;F‡ndlyho 3;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5895;22766;POINT (21.2603497 48.6871829);21.2603497;48.6871829;Kapustn‡;25;Kapustn‡ 25;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5896;22770;POINT (21.260797 48.687377);21.260797;48.687377;Turnianska;7;Turnianska 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5897;22771;POINT (21.2613826 48.6874253);21.2613826;48.6874253;Turnianska;3;Turnianska 3;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5898;22772;POINT (21.2620972 48.687351);21.2620972;48.687351;Bar‹ianska;1;Bar‹ianska 1;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5899;22773;POINT (21.2621028 48.6870268);21.2621028;48.6870268;Bar‹ianska;5;Bar‹ianska 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5900;22775;POINT (21.2621293 48.6869018);21.2621293;48.6869018;Bar‹ianska;7;Bar‹ianska 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5901;22778;POINT (21.2620614 48.6864016);21.2620614;48.6864016;Bar‹ianska;13;Bar‹ianska 13;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5902;22780;POINT (21.2621577 48.6859178);21.2621577;48.6859178;Bar‹ianska;21;Bar‹ianska 21;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5903;22781;POINT (21.2621886 48.6856832);21.2621886;48.6856832;Bar‹ianska;25;Bar‹ianska 25;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5904;22736;POINT (21.2589501 48.6861772);21.2589501;48.6861772;Pri salaäi;8;Pri salaäi 8;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5905;22735;POINT (21.2583019 48.6861664);21.2583019;48.6861664;»anov‡;5;»anov‡ 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5906;22732;POINT (21.2589997 48.6872446);21.2589997;48.6872446;Turnianska;11;Turnianska 11;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5907;22731;POINT (21.2587839 48.687274);21.2587839;48.687274;Turnianska;13;Turnianska 13;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5908;22658;POINT (21.2596165 48.6765593);21.2596165;48.6765593;‰kalovova;26;‰kalovova 26;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5909;22660;POINT (21.2625532 48.6704657);21.2625532;48.6704657;Berzeviczyho;14;Berzeviczyho 14;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5910;22680;POINT (21.2637853 48.6702667);21.2637853;48.6702667;Berzeviczyho;9;Berzeviczyho 9;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5911;22683;POINT (21.2662349 48.6728374);21.2662349;48.6728374;Zemianska;15;Zemianska 15;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5912;22684;POINT (21.2653435 48.6726165);21.2653435;48.6726165;Zemianska;5;Zemianska 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5913;22687;POINT (21.2655742 48.672624);21.2655742;48.672624;Zemianska;7;Zemianska 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5914;22696;POINT (21.2703004 48.6696269);21.2703004;48.6696269;Mo‹iarna;9;Mo‹iarna 9;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5915;22698;POINT (21.2698411 48.6692646);21.2698411;48.6692646;Pri vagovni;12;Pri vagovni 12;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5916;22699;POINT (21.2702286 48.6697798);21.2702286;48.6697798;Mo‹iarna;7;Mo‹iarna 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5917;22703;POINT (21.2694066 48.6695136);21.2694066;48.6695136;Pri vagovni;3;Pri vagovni 3;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5918;22704;POINT (21.2705962 48.6688658);21.2705962;48.6688658;Mo‹iarna;19;Mo‹iarna 19;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
